Serial number: 20240001,,,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,,,
,,,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle,Serial number
3999,1710776801, 2024/3/18 15:46:41,57.29,23.73,520.31,2522.62,4184.57,0,0,0,1,1,1
5999,1710776803, 2024/3/18 15:46:43,55.1,23.74,462.19,2526.75,4184.57,0,0,0,2,1,1
7999,1710776805, 2024/3/18 15:46:45,53.37,23.79,394.13,2526.75,4184.57,0,0,0,3,1,1
10000,1710776807, 2024/3/18 15:46:47,53.31,23.79,347.06,2526,4184.57,0,0,0,4,1,1
11999,1710776809, 2024/3/18 15:46:49,53.33,23.79,314.81,2525.62,4184.57,0,0,0,5,1,1
13999,1710776811, 2024/3/18 15:46:51,53.02,23.79,292.69,2525.44,4184.57,0,0,0,6,1,1
15998,1710776813, 2024/3/18 15:46:53,51.63,23.82,277.88,2524.69,4184.57,0,0,0,7,1,1
17999,1710776815, 2024/3/18 15:46:55,50.56,23.84,268.31,2520.56,4194.34,0,0,0,8,1,1
19999,1710776817, 2024/3/18 15:46:57,50.05,23.84,261,2520.37,4194.34,0,0,0,9,1,1
21999,1710776819, 2024/3/18 15:46:59,49.75,23.82,255,2520,4194.34,0,0,0,10,1,1
23999,1710776821, 2024/3/18 15:47:1,49.66,23.81,252,2520.75,4184.57,0,0,0,11,1,1
25999,1710776823, 2024/3/18 15:47:3,49.76,23.82,250.12,2520.75,4184.57,0,0,0,12,1,1
27999,1710776825, 2024/3/18 15:47:5,49.81,23.82,249,2520.94,4096.68,0,0,0,13,1,1
30000,1710776827, 2024/3/18 15:47:7,49.79,23.83,248.63,2520.37,4116.21,0,0,0,14,1,1
32000,1710776829, 2024/3/18 15:47:9,49.75,23.82,248.44,2520.37,4121.09,0,0,0,15,1,1
33999,1710776831, 2024/3/18 15:47:11,49.62,23.79,248.63,2520.94,4121.09,0,0,0,16,1,1
35999,1710776833, 2024/3/18 15:47:13,49.56,23.77,248.81,2520.75,4121.09,0,0,0,17,1,1
37999,1710776835, 2024/3/18 15:47:15,49.55,23.79,249,2520.56,4199.22,0,0,0,18,1,1
39999,1710776837, 2024/3/18 15:47:17,49.56,23.79,249.94,2520.75,4199.22,0,0,0,19,1,1
41999,1710776839, 2024/3/18 15:47:19,49.55,23.78,250.88,2520.75,4199.22,0,0,0,20,1,1
43999,1710776841, 2024/3/18 15:47:21,49.57,23.79,252.75,2521.69,4189.45,0,0,0,21,1,1
45999,1710776843, 2024/3/18 15:47:23,49.52,23.78,254.25,2521.87,4184.57,0,0,0,22,1,1
48000,1710776845, 2024/3/18 15:47:25,49.45,23.79,255.75,2521.87,4096.68,0,0,0,23,1,1
49999,1710776847, 2024/3/18 15:47:27,49.39,23.8,257.25,2522.06,4116.21,0,0,0,24,1,1
51999,1710776849, 2024/3/18 15:47:29,49.32,23.78,258.94,2522.44,4116.21,0,0,0,25,1,1
53999,1710776851, 2024/3/18 15:47:31,49.26,23.78,261,2522.62,4121.09,0,0,0,26,1,1
55999,1710776853, 2024/3/18 15:47:33,49.22,23.77,262.69,2523.19,4121.09,0,0,0,27,1,1
57998,1710776855, 2024/3/18 15:47:35,49.21,23.77,264,2522.44,4199.22,0,0,0,28,1,1
59999,1710776857, 2024/3/18 15:47:37,49.21,23.78,266.06,2523.19,4194.34,0,0,0,29,1,1
61999,1710776859, 2024/3/18 15:47:39,49.23,23.76,267.75,2523.19,4199.22,0,0,0,30,1,1
63998,1710776861, 2024/3/18 15:47:41,49.28,23.78,270.19,2524.12,4189.45,0,0,0,31,1,1
65999,1710776863, 2024/3/18 15:47:43,49.3,23.77,272.06,2524.69,4184.57,0,0,0,32,1,1
67999,1710776865, 2024/3/18 15:47:45,49.4,23.79,274.31,2525.06,4101.56,0,0,0,33,1,1
70000,1710776867, 2024/3/18 15:47:47,49.47,23.8,276.38,2525.25,4116.21,0,0,0,34,1,1
71999,1710776869, 2024/3/18 15:47:49,49.59,23.81,278.44,2526,4116.21,0,0,0,35,1,1
73999,1710776871, 2024/3/18 15:47:51,49.72,23.79,280.5,2526.37,4121.09,0,0,0,36,1,1
75999,1710776873, 2024/3/18 15:47:53,49.81,23.79,282.56,2526.75,4121.09,0,0,0,37,1,1
78000,1710776875, 2024/3/18 15:47:55,49.97,23.79,284.06,2526.75,4199.22,0,0,0,38,1,1
80000,1710776877, 2024/3/18 15:47:57,50.12,23.78,286.5,2527.31,4199.22,0,0,0,39,1,1
81999,1710776879, 2024/3/18 15:47:59,50.35,23.82,288.38,2527.12,4199.22,0,0,0,40,1,1
84000,1710776881, 2024/3/18 15:48:1,50.51,23.81,291.38,2528.44,4184.57,0,0,0,41,1,1
85999,1710776883, 2024/3/18 15:48:3,50.69,23.8,293.81,2529.19,4189.45,0,0,0,42,1,1
87999,1710776885, 2024/3/18 15:48:5,50.87,23.81,296.06,2529.94,4096.68,0,0,0,43,1,1
89999,1710776887, 2024/3/18 15:48:7,51.04,23.84,298.13,2530.13,4096.68,0,0,0,44,1,1
91999,1710776889, 2024/3/18 15:48:9,51.26,23.83,300.38,2530.5,4116.21,0,0,0,45,1,1
94000,1710776891, 2024/3/18 15:48:11,51.45,23.82,302.63,2531.25,4121.09,0,0,0,46,1,1
96000,1710776893, 2024/3/18 15:48:13,51.69,23.85,305.25,2531.62,4121.09,0,0,0,47,1,1
97999,1710776895, 2024/3/18 15:48:15,51.87,23.84,306.75,2531.62,4199.22,0,0,0,48,1,1
99999,1710776897, 2024/3/18 15:48:17,52.1,23.85,309.19,2532,4199.22,0,0,0,49,1,1
101999,1710776899, 2024/3/18 15:48:19,52.28,23.88,311.25,2533.12,4199.22,0,0,0,50,1,1
103999,1710776901, 2024/3/18 15:48:21,52.42,23.87,314.25,2533.87,4184.57,0,0,0,51,1,1
106000,1710776903, 2024/3/18 15:48:23,52.66,23.89,316.13,2534.44,4189.45,0,0,0,52,1,1
107999,1710776905, 2024/3/18 15:48:25,52.84,23.89,318.38,2534.62,4096.68,0,0,0,53,1,1
109999,1710776907, 2024/3/18 15:48:27,52.99,23.91,320.25,2535.56,4096.68,0,0,0,54,1,1
112000,1710776909, 2024/3/18 15:48:29,53.17,23.92,322.31,2535.94,4116.21,0,0,0,55,1,1
113999,1710776911, 2024/3/18 15:48:31,53.34,23.92,324.38,2536.5,4121.09,0,0,0,56,1,1
115998,1710776913, 2024/3/18 15:48:33,53.49,23.93,326.06,2537.44,4121.09,0,0,0,57,1,1
117999,1710776915, 2024/3/18 15:48:35,53.64,23.94,327.38,2537.44,4199.22,0,0,0,58,1,1
119999,1710776917, 2024/3/18 15:48:37,53.76,23.96,329.06,2537.81,4199.22,0,0,0,59,1,1
121999,1710776919, 2024/3/18 15:48:39,53.9,23.96,330.94,2538.56,4199.22,0,0,0,60,1,1
124000,1710776921, 2024/3/18 15:48:41,54.06,23.96,333.38,2539.87,4184.57,0,0,0,61,1,1
125999,1710776923, 2024/3/18 15:48:43,54.18,23.97,334.88,2540.25,4189.45,0,0,0,62,1,1
127998,1710776925, 2024/3/18 15:48:45,54.32,23.99,336.56,2540.62,4096.68,0,0,0,63,1,1
129999,1710776927, 2024/3/18 15:48:47,54.45,24.02,338.25,2541.37,4096.68,0,0,0,64,1,1
131999,1710776929, 2024/3/18 15:48:49,54.54,24.02,339.94,2541.75,4116.21,0,0,0,65,1,1
133999,1710776931, 2024/3/18 15:48:51,54.68,24.04,341.44,2542.5,4121.09,0,0,0,66,1,1
135999,1710776933, 2024/3/18 15:48:53,54.81,24.04,343.31,2543.25,4121.09,0,0,0,67,1,1
138000,1710776935, 2024/3/18 15:48:55,54.89,24.07,344.25,2543.06,4199.22,0,0,0,68,1,1
139999,1710776937, 2024/3/18 15:48:57,55.02,24.08,345.94,2543.81,4199.22,0,0,0,69,1,1
141999,1710776939, 2024/3/18 15:48:59,55.09,24.08,347.25,2544.37,4199.22,0,0,0,70,1,1
143998,1710776941, 2024/3/18 15:49:1,55.25,24.1,349.31,2545.5,4189.45,0,0,0,71,1,1
145998,1710776943, 2024/3/18 15:49:3,55.35,24.13,351,2546.06,4189.45,0,0,0,72,1,1
147999,1710776945, 2024/3/18 15:49:5,55.4,24.12,352.31,2546.63,4184.57,0,0,0,73,1,1
149999,1710776947, 2024/3/18 15:49:7,55.53,24.14,354,2547.19,4096.68,0,0,0,74,1,1
151999,1710776949, 2024/3/18 15:49:9,55.61,24.18,355.13,2547.75,4116.21,0,0,0,75,1,1
153999,1710776952, 2024/3/18 15:49:12,55.69,24.18,356.63,2548.31,4121.09,0,0,0,76,1,1
155999,1710776954, 2024/3/18 15:49:14,55.8,24.18,358.13,2549.06,4121.09,0,0,0,77,1,1
157999,1710776955, 2024/3/18 15:49:15,55.88,24.23,359.06,2549.25,4199.22,0,0,0,78,1,1
159998,1710776957, 2024/3/18 15:49:17,55.94,24.22,360.38,2549.81,4199.22,0,0,0,79,1,1
161999,1710776959, 2024/3/18 15:49:19,56.04,24.24,361.88,2550.56,4199.22,0,0,0,80,1,1
163999,1710776961, 2024/3/18 15:49:21,56.13,24.27,363.56,2551.87,4189.45,0,0,0,81,1,1
165999,1710776963, 2024/3/18 15:49:23,56.2,24.3,365.06,2552.25,4189.45,0,0,0,82,1,1
167999,1710776965, 2024/3/18 15:49:25,56.26,24.3,366.38,2552.81,4189.45,0,0,0,83,1,1
