Serial number: 553132313031082E13,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,
,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber
3999,1710776801, 2024/3/18 15:46:41,57.29,23.73,520.31,2522.62,4184.57,0,23.85,0,1
5999,1710776803, 2024/3/18 15:46:43,55.1,23.74,462.19,2526.75,4184.57,0,23.85,0,2
7999,1710776805, 2024/3/18 15:46:45,53.37,23.79,394.13,2526.75,4184.57,0,23.85,0,3
10000,1710776807, 2024/3/18 15:46:47,53.31,23.79,347.06,2526,4184.57,0,23.85,0,4
11999,1710776809, 2024/3/18 15:46:49,53.33,23.79,314.81,2525.62,4184.57,0,23.85,0,5
13999,1710776811, 2024/3/18 15:46:51,53.02,23.79,292.69,2525.44,4184.57,0,23.85,0,6
15998,1710776813, 2024/3/18 15:46:53,51.63,23.82,277.88,2524.69,4184.57,0,23.85,0,7
17999,1710776815, 2024/3/18 15:46:55,50.56,23.84,268.31,2520.56,4194.34,0,23.85,0,8
19999,1710776817, 2024/3/18 15:46:57,50.05,23.84,261,2520.37,4194.34,0,23.85,0,9
21999,1710776819, 2024/3/18 15:46:59,49.75,23.82,255,2520,4194.34,0,23.85,0,10
23999,1710776821, 2024/3/18 15:47:1,49.66,23.81,252,2520.75,4184.57,37.02,24.12,3189,11
25999,1710776823, 2024/3/18 15:47:3,49.76,23.82,250.12,2520.75,4184.57,37.02,24.12,3189,12
27999,1710776825, 2024/3/18 15:47:5,49.81,23.82,249,2520.94,4096.68,37.02,24.12,3189,13
30000,1710776827, 2024/3/18 15:47:7,49.79,23.83,248.63,2520.37,4116.21,37.02,24.12,3189,14
32000,1710776829, 2024/3/18 15:47:9,49.75,23.82,248.44,2520.37,4121.09,37.02,24.12,3189,15
33999,1710776831, 2024/3/18 15:47:11,49.62,23.79,248.63,2520.94,4121.09,37.02,24.12,3189,16
35999,1710776833, 2024/3/18 15:47:13,49.56,23.77,248.81,2520.75,4121.09,37.02,24.12,3189,17
37999,1710776835, 2024/3/18 15:47:15,49.55,23.79,249,2520.56,4199.22,37.02,24.12,3189,18
39999,1710776837, 2024/3/18 15:47:17,49.56,23.79,249.94,2520.75,4199.22,37.02,24.12,3189,19
41999,1710776839, 2024/3/18 15:47:19,49.55,23.78,250.88,2520.75,4199.22,37.02,24.12,3189,20
43999,1710776841, 2024/3/18 15:47:21,49.57,23.79,252.75,2521.69,4189.45,38.46,24.48,2885,21
45999,1710776843, 2024/3/18 15:47:23,49.52,23.78,254.25,2521.87,4184.57,38.46,24.48,2885,22
48000,1710776845, 2024/3/18 15:47:25,49.45,23.79,255.75,2521.87,4096.68,38.46,24.48,2885,23
