millis,stampunix,datetime,RH%,tempC,CH4smV, CH4rmV, VbatmV, K30_CO2, SampleNumber,Serial number,
9328999,1650887033, 2022/4/25 11:43:53,40.2,31.3,380.86,2309.57,4384.77,358,18658,1,
9329499,1650887033, 2022/4/25 11:43:53,40.2,31.3,380.86,2304.69,4384.77,358,18659,1,
9329998,1650887034, 2022/4/25 11:43:54,40.2,31.3,380.86,2304.69,4384.77,358,18660,1,
9330499,1650887034, 2022/4/25 11:43:54,40.2,31.3,380.86,2304.69,4384.77,358,18661,1,
9330999,1650887035, 2022/4/25 11:43:55,40.2,31.3,380.86,2304.69,4384.77,358,18662,1,
9331499,1650887035, 2022/4/25 11:43:55,40.2,31.3,375.98,2304.69,4384.77,358,18663,1,
9331999,1650887036, 2022/4/25 11:43:56,40.2,31.3,375.98,2304.69,4384.77,358,18664,1,
9332499,1650887036, 2022/4/25 11:43:56,40.2,31.3,375.98,2304.69,4384.77,358,18665,1,
9332999,1650887037, 2022/4/25 11:43:57,40.2,31.3,375.98,2304.69,4384.77,358,18666,1,
9333498,1650887037, 2022/4/25 11:43:57,40.2,31.3,375.98,2304.69,4384.77,358,18667,1,
9333999,1650887038, 2022/4/25 11:43:58,40.2,31.3,375.98,2304.69,4384.77,358,18668,1,
9334499,1650887038, 2022/4/25 11:43:58,40.2,31.3,375.98,2304.69,4384.77,358,18669,1,
9334999,1650887039, 2022/4/25 11:43:59,40.2,31.3,375.98,2304.69,4384.77,358,18670,1,
9335499,1650887039, 2022/4/25 11:43:59,40.2,31.3,375.98,2304.69,4384.77,358,18671,1,
9335999,1650887040, 2022/4/25 11:44:0,40.2,31.3,375.98,2304.69,4384.77,358,18672,1,
9336499,1650887040, 2022/4/25 11:44:0,40.2,31.3,375.98,2304.69,4384.77,358,18673,1,
9336998,1650887041, 2022/4/25 11:44:1,40.2,31.3,375.98,2304.69,4384.77,358,18674,1,
9337499,1650887041, 2022/4/25 11:44:1,40.2,31.3,375.98,2304.69,4384.77,358,18675,1,
9337999,1650887042, 2022/4/25 11:44:2,40.2,31.3,375.98,2304.69,4384.77,358,18676,1,
9338499,1650887042, 2022/4/25 11:44:2,40.2,31.3,375.98,2304.69,4384.77,358,18677,1,
9338998,1650887043, 2022/4/25 11:44:3,40.2,31.3,375.98,2304.69,4384.77,358,18678,1,
9339499,1650887043, 2022/4/25 11:44:3,40.2,31.3,375.98,2304.69,4384.77,358,18679,1,
9339999,1650887044, 2022/4/25 11:44:4,40.2,31.3,375.98,2304.69,4384.77,358,18680,1,
9340498,1650887044, 2022/4/25 11:44:4,40.2,31.3,375.98,2304.69,4384.77,358,18681,1,
9341000,1650887045, 2022/4/25 11:44:5,40.2,31.3,375.98,2304.69,4384.77,358,18682,1,
9341499,1650887045, 2022/4/25 11:44:5,40.2,31.3,375.98,2304.69,4384.77,358,18683,1,
9341999,1650887046, 2022/4/25 11:44:6,40.2,31.3,375.98,2304.69,4384.77,358,18684,1,
9342499,1650887046, 2022/4/25 11:44:6,40.2,31.3,375.98,2304.69,4384.77,358,18685,1,
9342999,1650887047, 2022/4/25 11:44:7,40.2,31.3,375.98,2304.69,4384.77,358,18686,1,
9343499,1650887047, 2022/4/25 11:44:7,40.2,31.3,375.98,2304.69,4384.77,358,18687,1,
9344000,1650887048, 2022/4/25 11:44:8,40.2,31.3,375.98,2304.69,4384.77,358,18688,1,
9344499,1650887048, 2022/4/25 11:44:8,40.2,31.3,375.98,2304.69,4384.77,358,18689,1,
9344999,1650887049, 2022/4/25 11:44:9,40.2,31.3,375.98,2304.69,4384.77,358,18690,1,
9345499,1650887049, 2022/4/25 11:44:9,40.2,31.3,375.98,2304.69,4384.77,358,18691,1,
9345998,1650887050, 2022/4/25 11:44:10,40.2,31.3,375.98,2309.57,4384.77,358,18692,1,
9346500,1650887050, 2022/4/25 11:44:10,40.2,31.3,375.98,2304.69,4384.77,358,18693,1,
9346999,1650887051, 2022/4/25 11:44:11,40.2,31.3,375.98,2304.69,4384.77,358,18694,1,
9347500,1650887051, 2022/4/25 11:44:11,40.2,31.3,375.98,2304.69,4384.77,358,18695,1,
9347999,1650887052, 2022/4/25 11:44:12,40.2,31.3,375.98,2304.69,4384.77,358,18696,1,
9348499,1650887052, 2022/4/25 11:44:12,40.2,31.3,375.98,2309.57,4384.77,358,18697,1,
9348999,1650887053, 2022/4/25 11:44:13,40.2,31.3,375.98,2309.57,4384.77,358,18698,1,
9349498,1650887053, 2022/4/25 11:44:13,40.2,31.3,375.98,2309.57,4384.77,358,18699,1,
9349999,1650887054, 2022/4/25 11:44:14,40.2,31.3,375.98,2309.57,4384.77,358,18700,1,
9350499,1650887054, 2022/4/25 11:44:14,40.2,31.3,375.98,2309.57,4384.77,358,18701,1,
9350999,1650887055, 2022/4/25 11:44:15,40.2,31.3,375.98,2309.57,4384.77,358,18702,1,
9351499,1650887056, 2022/4/25 11:44:16,40.2,31.3,375.98,2304.69,4384.77,358,18703,1,
9351999,1650887056, 2022/4/25 11:44:16,40.2,31.3,375.98,2309.57,4384.77,358,18704,1,
9352499,1650887057, 2022/4/25 11:44:17,40.2,31.3,375.98,2309.57,4384.77,358,18705,1,
9352998,1650887057, 2022/4/25 11:44:17,40.2,31.3,375.98,2309.57,4384.77,358,18706,1,
9353499,1650887058, 2022/4/25 11:44:18,40.2,31.3,375.98,2309.57,4384.77,358,18707,1,
9353999,1650887058, 2022/4/25 11:44:18,40.2,31.3,375.98,2309.57,4384.77,358,18708,1,
9354500,1650887059, 2022/4/25 11:44:19,40.2,31.3,375.98,2309.57,4384.77,358,18709,1,
9354999,1650887059, 2022/4/25 11:44:19,40.2,31.3,375.98,2309.57,4384.77,358,18710,1,
